Team1,Seed1,Score1,Team2,Seed2,Score2
Gonzaga,1,93,Georgia State,16,72
Memphis,9,64,Boise State,8,53
New Mexico State,12,70,UConn,5,63
Arkansas,4,75,Vermont,13,71
Notre Dame,11,78,Alabama,6,64
Texas Tech,3,97,Montana State,14,62
Michigan State,7,74,Davidson,10,73
Duke,2,78,Cal State Fullerton,15,61
